# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
150, 1.000000, 144, 23, 43, 376.000000, 0.033568, 0.023611, 0.005527, 0.001271
150, 1.000000, 144, 23, 43, 376.000000, 0.036068, 0.026546, 0.005120, 0.001219
150, 1.000000, 144, 23, 43, 376.000000, 0.030261, 0.020610, 0.005283, 0.001236
150, 1.000000, 144, 23, 43, 376.000000, 0.029353, 0.019817, 0.005234, 0.001193
150, 1.000000, 144, 23, 43, 376.000000, 0.029228, 0.019843, 0.005031, 0.001247
150, 1.000000, 144, 23, 43, 376.000000, 0.033881, 0.023796, 0.005344, 0.001518
150, 1.000000, 144, 23, 43, 376.000000, 0.032255, 0.022456, 0.005364, 0.001249
150, 1.000000, 144, 23, 43, 376.000000, 0.033238, 0.023043, 0.005346, 0.001220
150, 1.000000, 144, 23, 43, 376.000000, 0.035282, 0.025315, 0.004971, 0.001319
150, 1.000000, 144, 23, 43, 376.000000, 0.034357, 0.024914, 0.005003, 0.001284
150, 1.000000, 144, 23, 43, 376.000000, 0.030397, 0.020663, 0.005292, 0.001288
150, 1.000000, 144, 23, 43, 376.000000, 0.030095, 0.020851, 0.004949, 0.001186
150, 1.000000, 144, 23, 43, 376.000000, 0.031417, 0.021436, 0.005587, 0.001172
150, 1.000000, 144, 23, 43, 376.000000, 0.033800, 0.024383, 0.005025, 0.001260
150, 1.000000, 144, 23, 43, 376.000000, 0.032520, 0.023159, 0.004834, 0.001373
150, 1.000000, 144, 23, 43, 376.000000, 0.034698, 0.024845, 0.005431, 0.001277
150, 1.000000, 144, 23, 43, 376.000000, 0.034970, 0.024972, 0.004826, 0.001255
150, 1.000000, 144, 23, 43, 376.000000, 0.035769, 0.025935, 0.005226, 0.001338
150, 1.000000, 144, 23, 43, 376.000000, 0.029347, 0.020062, 0.004884, 0.001273
150, 1.000000, 144, 23, 43, 376.000000, 0.030251, 0.020363, 0.005502, 0.001159
