# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
700, 1.000000, 624, 77, 152, 1704.000000, 0.838776, 0.476076, 0.276087, 0.039701
700, 1.000000, 624, 77, 152, 1704.000000, 0.772515, 0.447885, 0.254301, 0.025639
700, 1.000000, 624, 77, 152, 1704.000000, 0.711801, 0.376976, 0.253915, 0.036307
700, 1.000000, 624, 77, 152, 1704.000000, 0.772948, 0.433245, 0.269187, 0.026731
700, 1.000000, 624, 77, 152, 1704.000000, 0.694048, 0.371779, 0.252800, 0.027454
700, 1.000000, 624, 77, 152, 1704.000000, 0.682389, 0.369433, 0.243146, 0.024945
700, 1.000000, 624, 77, 152, 1704.000000, 0.748313, 0.366002, 0.310177, 0.029078
700, 1.000000, 624, 77, 152, 1704.000000, 0.787641, 0.418321, 0.285557, 0.036656
700, 1.000000, 624, 77, 152, 1704.000000, 0.739547, 0.406446, 0.262435, 0.029058
700, 1.000000, 624, 77, 152, 1704.000000, 0.839702, 0.479331, 0.274559, 0.028352
700, 1.000000, 624, 77, 152, 1704.000000, 0.786373, 0.436561, 0.276096, 0.027293
700, 1.000000, 624, 77, 152, 1704.000000, 0.849489, 0.465252, 0.307139, 0.029906
700, 1.000000, 624, 77, 152, 1704.000000, 0.814733, 0.482396, 0.262320, 0.025670
700, 1.000000, 624, 77, 152, 1704.000000, 0.693136, 0.376320, 0.252286, 0.025057
700, 1.000000, 624, 77, 152, 1704.000000, 0.884180, 0.492339, 0.314780, 0.025022
700, 1.000000, 624, 77, 152, 1704.000000, 0.697478, 0.381509, 0.250749, 0.025844
700, 1.000000, 624, 77, 152, 1704.000000, 0.751032, 0.367668, 0.301441, 0.038911
700, 1.000000, 624, 77, 152, 1704.000000, 0.757460, 0.372975, 0.291306, 0.025235
700, 1.000000, 624, 77, 152, 1704.000000, 0.744108, 0.400173, 0.267255, 0.026895
700, 1.000000, 624, 77, 152, 1704.000000, 0.831419, 0.487922, 0.274962, 0.025382
