1505.958,1251.888
1384.78,1937.858
763.831,2390.688
205.83,1747.512
828.21,2153.781
867.282,1409.294
309.995,2149.071
382.816,310.4
1936.154,1047.502
1286.161,122.898
2298.531,339.016
2128.776,1018.79
1747.687,1228.348
644.553,2231.947
1917.93,2447.656
1181.432,1003.097
1270.885,378.2
671.481,857.546
2427.469,1902.403
997.173,1227.227
574.009,1806.4
559.509,283.077
427.711,1430.369
539.955,1161.732
1005.502,2293.805
2336.896,934.246
839.062,1751.19
1734.915,2493.435
1404.581,2208.787
1023.844,1697.977
1573.425,686.94
1860.818,1512.93
2244.863,2194.506
1786.805,1805.654
385.063,1978.311
1690.123,87.158
918.427,614.73
402.975,568.049
1758.711,444.214
160.777,1337.029
962.705,419.428
1120.41,2460.352
1522.923,2389.805
166.306,1516.233
2424.32,2197.861
1694.712,2261.73
2463.506,2439.063
323.183,827.973
2019.547,1861.559
1943.12,415.769
122.853,523.735
1410.528,984.499
