# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.005845,0.002367,0.001428,0.000824
0.011893,0.007057,0.002076,0.000946
0.020303,0.010515,0.005263,0.001086
0.046171,0.031354,0.008874,0.001093
0.049519,0.032638,0.009901,0.001268
0.120237,0.05,0.060601,0.001811
0.322774,0.060816,0.250395,0.001986
0.167588,0.078489,0.075759,0.002128
0.557376,0.183765,0.353977,0.00297
0.336635,0.206559,0.108203,0.002537
0.346385,0.241609,0.076416,0.003304
0.730827,0.212713,0.49174,0.003795
0.825687,0.284379,0.508028,0.005218
0.893775,0.30965,0.552355,0.003998
2.718905,0.507015,2.167265,0.005686
0.628228,0.342028,0.244096,0.007601
1.747803,0.665563,1.027043,0.007895
0.997083,0.722747,0.212243,0.009297
1.794563,0.675619,1.051435,0.012387
1.88489,0.740067,1.0764,0.010827
