# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.004301,0.002041,0.001079,0.00032
0.013571,0.005815,0.004808,0.000413
0.014322,0.008884,0.002933,0.000445
0.025543,0.015138,0.005941,0.000747
0.062936,0.040753,0.015858,0.000569
0.138563,0.051757,0.076508,0.001069
0.102833,0.065131,0.027223,0.001226
0.181225,0.102839,0.064588,0.001081
0.16797,0.071483,0.086671,0.001133
0.496444,0.105816,0.376565,0.001495
0.553394,0.285427,0.242613,0.001836
0.675042,0.288956,0.360289,0.001937
0.651603,0.204473,0.424735,0.001897
1.420427,0.311038,1.079921,0.002401
0.480407,0.262747,0.192008,0.002615
2.665039,0.475282,2.147999,0.00264
2.64208,0.312622,2.293424,0.003719
10.815614,0.619765,10.146917,0.003961
15.356367,0.668239,14.635747,0.004711
9.350364,0.781089,8.516548,0.003994
