# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
100, 1.000000, 96, 26, 50, 245.000000, 0.012105, 0.006594, 0.002176, 0.001474
100, 1.000000, 96, 26, 50, 245.000000, 0.012830, 0.006996, 0.002302, 0.001521
100, 1.000000, 96, 26, 50, 245.000000, 0.018385, 0.010450, 0.002871, 0.002337
100, 1.000000, 96, 26, 50, 245.000000, 0.015301, 0.007980, 0.003149, 0.001892
100, 1.000000, 96, 26, 50, 245.000000, 0.012388, 0.006709, 0.002229, 0.001563
100, 1.000000, 96, 26, 50, 245.000000, 0.012495, 0.006586, 0.002083, 0.002004
100, 1.000000, 96, 26, 50, 245.000000, 0.012608, 0.006862, 0.002289, 0.001581
100, 1.000000, 96, 26, 50, 245.000000, 0.012511, 0.006663, 0.002482, 0.001547
100, 1.000000, 96, 26, 50, 245.000000, 0.012973, 0.007258, 0.002290, 0.001452
100, 1.000000, 96, 26, 50, 245.000000, 0.015318, 0.008242, 0.002399, 0.002247
100, 1.000000, 96, 26, 50, 245.000000, 0.015122, 0.009276, 0.002188, 0.001512
100, 1.000000, 96, 26, 50, 245.000000, 0.012188, 0.006608, 0.002194, 0.001536
100, 1.000000, 96, 26, 50, 245.000000, 0.012430, 0.006785, 0.002234, 0.001568
100, 1.000000, 96, 26, 50, 245.000000, 0.012160, 0.006601, 0.002146, 0.001547
100, 1.000000, 96, 26, 50, 245.000000, 0.013221, 0.007626, 0.002235, 0.001468
100, 1.000000, 96, 26, 50, 245.000000, 0.012507, 0.007061, 0.002186, 0.001446
100, 1.000000, 96, 26, 50, 245.000000, 0.013170, 0.007190, 0.002362, 0.001619
100, 1.000000, 96, 26, 50, 245.000000, 0.012673, 0.007041, 0.002252, 0.001526
100, 1.000000, 96, 26, 50, 245.000000, 0.012999, 0.006938, 0.002408, 0.001674
100, 1.000000, 96, 26, 50, 245.000000, 0.013165, 0.007093, 0.002425, 0.001603
