# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
1000, 1.000000, 892, 156, 323, 2504.000000, 1.025610, 0.671203, 0.117359, 0.164883
1000, 1.000000, 892, 156, 323, 2504.000000, 0.966807, 0.614184, 0.115891, 0.165071
1000, 1.000000, 892, 156, 323, 2504.000000, 1.024833, 0.668571, 0.115212, 0.164140
1000, 1.000000, 892, 156, 323, 2504.000000, 0.976603, 0.618793, 0.117246, 0.163694
1000, 1.000000, 892, 156, 323, 2504.000000, 0.981948, 0.627467, 0.116903, 0.164857
1000, 1.000000, 892, 156, 323, 2504.000000, 0.983198, 0.623871, 0.117598, 0.164057
1000, 1.000000, 892, 156, 323, 2504.000000, 0.977110, 0.623697, 0.116675, 0.164362
1000, 1.000000, 892, 156, 323, 2504.000000, 0.976561, 0.621806, 0.117085, 0.165237
1000, 1.000000, 892, 156, 323, 2504.000000, 0.979471, 0.625266, 0.116201, 0.164720
1000, 1.000000, 892, 156, 323, 2504.000000, 0.980910, 0.623190, 0.115610, 0.170021
1000, 1.000000, 892, 156, 323, 2504.000000, 0.972457, 0.620874, 0.115373, 0.163506
1000, 1.000000, 892, 156, 323, 2504.000000, 0.970934, 0.620905, 0.114489, 0.163903
1000, 1.000000, 892, 156, 323, 2504.000000, 0.977030, 0.619651, 0.117713, 0.164308
1000, 1.000000, 892, 156, 323, 2504.000000, 0.979160, 0.626887, 0.115947, 0.163719
1000, 1.000000, 892, 156, 323, 2504.000000, 0.970678, 0.619015, 0.115826, 0.163754
1000, 1.000000, 892, 156, 323, 2504.000000, 0.981041, 0.623862, 0.117126, 0.163863
1000, 1.000000, 892, 156, 323, 2504.000000, 0.981758, 0.626783, 0.117197, 0.164880
1000, 1.000000, 892, 156, 323, 2504.000000, 0.972571, 0.618839, 0.117165, 0.164502
1000, 1.000000, 892, 156, 323, 2504.000000, 0.977769, 0.623614, 0.116803, 0.165208
1000, 1.000000, 892, 156, 323, 2504.000000, 1.731801, 1.377563, 0.118263, 0.163742
1000, 1.000000, 892, 156, 323, 2504.000000, 1.001425, 0.647896, 0.121596, 0.170486
