# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
650, 1.000000, 596, 126, 254, 1691.000000, 0.494796, 0.307507, 0.055087, 0.095843
650, 1.000000, 596, 126, 254, 1691.000000, 0.502392, 0.313864, 0.055293, 0.096463
650, 1.000000, 596, 126, 254, 1691.000000, 0.492048, 0.306375, 0.053083, 0.096631
650, 1.000000, 596, 126, 254, 1691.000000, 0.496488, 0.309788, 0.053201, 0.097152
650, 1.000000, 596, 126, 254, 1691.000000, 0.489449, 0.303505, 0.052876, 0.097897
650, 1.000000, 596, 126, 254, 1691.000000, 0.495714, 0.309479, 0.052509, 0.097067
650, 1.000000, 596, 126, 254, 1691.000000, 0.499851, 0.311951, 0.053594, 0.096755
650, 1.000000, 596, 126, 254, 1691.000000, 0.502319, 0.315759, 0.054259, 0.095366
650, 1.000000, 596, 126, 254, 1691.000000, 0.498984, 0.312747, 0.052986, 0.096539
650, 1.000000, 596, 126, 254, 1691.000000, 0.489050, 0.306343, 0.051179, 0.095468
650, 1.000000, 596, 126, 254, 1691.000000, 0.484344, 0.300971, 0.052086, 0.096140
650, 1.000000, 596, 126, 254, 1691.000000, 0.488657, 0.303521, 0.051907, 0.097472
650, 1.000000, 596, 126, 254, 1691.000000, 0.493585, 0.306876, 0.054398, 0.096049
650, 1.000000, 596, 126, 254, 1691.000000, 0.498988, 0.312301, 0.053548, 0.096500
650, 1.000000, 596, 126, 254, 1691.000000, 0.491228, 0.307852, 0.051920, 0.095654
650, 1.000000, 596, 126, 254, 1691.000000, 0.485695, 0.301209, 0.052149, 0.097236
650, 1.000000, 596, 126, 254, 1691.000000, 0.495406, 0.306820, 0.053752, 0.097474
650, 1.000000, 596, 126, 254, 1691.000000, 0.497692, 0.309134, 0.054192, 0.097214
650, 1.000000, 596, 126, 254, 1691.000000, 0.487679, 0.302197, 0.052116, 0.097424
650, 1.000000, 596, 126, 254, 1691.000000, 0.492119, 0.308029, 0.052488, 0.095395
