# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
100, 1.000000, 94, 52, 127, 279.000000, 0.020098, 0.004364, 0.002212, 0.011259
100, 1.000000, 94, 52, 127, 279.000000, 0.021979, 0.005824, 0.002347, 0.011470
100, 1.000000, 94, 52, 127, 279.000000, 0.021394, 0.004492, 0.002074, 0.012128
100, 1.000000, 94, 52, 127, 279.000000, 0.022413, 0.005929, 0.002151, 0.011965
100, 1.000000, 94, 52, 127, 279.000000, 0.022842, 0.005876, 0.002700, 0.011677
100, 1.000000, 94, 52, 127, 279.000000, 0.021654, 0.004869, 0.002176, 0.011909
100, 1.000000, 94, 52, 127, 279.000000, 0.026001, 0.007153, 0.003449, 0.011951
100, 1.000000, 94, 52, 127, 279.000000, 0.021163, 0.004470, 0.002093, 0.011865
100, 1.000000, 94, 52, 127, 279.000000, 0.021151, 0.004488, 0.002077, 0.011803
100, 1.000000, 94, 52, 127, 279.000000, 0.023544, 0.006803, 0.002668, 0.011422
100, 1.000000, 94, 52, 127, 279.000000, 0.020101, 0.004354, 0.002159, 0.011335
100, 1.000000, 94, 52, 127, 279.000000, 0.019310, 0.004371, 0.001921, 0.010948
100, 1.000000, 94, 52, 127, 279.000000, 0.024353, 0.005461, 0.003329, 0.011785
100, 1.000000, 94, 52, 127, 279.000000, 0.024859, 0.006254, 0.002319, 0.013544
100, 1.000000, 94, 52, 127, 279.000000, 0.022786, 0.005427, 0.002588, 0.012283
100, 1.000000, 94, 52, 127, 279.000000, 0.020439, 0.005327, 0.001917, 0.011075
100, 1.000000, 94, 52, 127, 279.000000, 0.020193, 0.004682, 0.001947, 0.011542
100, 1.000000, 94, 52, 127, 279.000000, 0.025155, 0.006725, 0.002861, 0.012133
100, 1.000000, 94, 52, 127, 279.000000, 0.019857, 0.004376, 0.002036, 0.011366
100, 1.000000, 94, 52, 127, 279.000000, 0.023168, 0.005637, 0.002545, 0.012035
