# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.016993,0.001223,0.001115,0.01329
0.035037,0.003798,0.002573,0.025585
0.06598,0.029194,0.00347,0.029498
0.068793,0.024929,0.005557,0.032576
0.104388,0.04619,0.009136,0.038682
0.131458,0.070935,0.012604,0.037554
0.140143,0.070857,0.016024,0.040581
0.214075,0.11782,0.020773,0.05908
0.274458,0.163689,0.026023,0.065283
0.318261,0.183541,0.031226,0.080031
0.37332,0.235532,0.037166,0.073967
0.390421,0.227639,0.050013,0.082463
0.446977,0.269934,0.049376,0.092631
0.655451,0.408754,0.088327,0.116804
0.831696,0.410624,0.247438,0.128513
0.897065,0.548233,0.135545,0.160425
1.18894,0.855516,0.156115,0.119224
0.85829,0.54582,0.108821,0.144254
1.119404,0.741335,0.135931,0.173351
1.731801,1.377563,0.118263,0.163742
