# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.009495,0.001076,0.001072,0.006391
0.023209,0.005834,0.002656,0.012103
0.034269,0.01457,0.003652,0.012649
0.100606,0.074683,0.006246,0.012873
0.080198,0.041033,0.009622,0.019977
0.0943,0.050305,0.012759,0.021422
0.135112,0.073304,0.017316,0.030385
0.210079,0.132731,0.026533,0.034549
0.236012,0.149244,0.030705,0.033726
0.226575,0.141553,0.031764,0.032185
0.32548,0.205513,0.050381,0.043627
0.384118,0.24207,0.064551,0.04813
0.464621,0.3248,0.059794,0.046003
0.506645,0.345871,0.064848,0.057653
0.758411,0.496741,0.158876,0.054289
0.611154,0.405111,0.085423,0.068262
0.748355,0.503004,0.118559,0.073946
1.003444,0.571182,0.280088,0.093418
1.113466,0.777404,0.194177,0.076459
1.590742,0.804275,0.604061,0.111254
