# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.007261,0.002176,0.001237,0.002883
0.018754,0.009735,0.002378,0.004664
0.027075,0.012843,0.004152,0.006707
0.052488,0.034001,0.006799,0.006644
0.066877,0.042589,0.00944,0.007783
0.1042,0.069818,0.014251,0.010448
0.112575,0.070303,0.016427,0.012773
0.178342,0.120801,0.027108,0.012521
0.20636,0.134646,0.041429,0.012754
0.235108,0.159473,0.038438,0.017712
0.350014,0.250366,0.054197,0.020518
0.372416,0.277403,0.044946,0.020974
0.486648,0.327419,0.103865,0.022934
0.57924,0.410002,0.104687,0.023231
0.657969,0.406387,0.175579,0.033929
0.567317,0.340642,0.145511,0.034598
3.775831,0.439458,3.242279,0.04595
0.965557,0.614685,0.252994,0.039052
2.623727,1.135307,1.36714,0.049419
1.181553,0.671775,0.389919,0.054064
