# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.004747,0.001422,0.001106,0.001403
0.013165,0.007093,0.002425,0.001603
0.027144,0.016986,0.004359,0.002644
0.037105,0.022084,0.006322,0.003236
0.075656,0.053062,0.011287,0.003569
0.127254,0.071541,0.042381,0.004268
0.188265,0.096234,0.075426,0.00517
0.18777,0.107516,0.061161,0.005376
0.388297,0.123903,0.241235,0.007348
0.262059,0.175843,0.058355,0.008436
0.231376,0.160107,0.043707,0.007807
4.591296,0.250376,4.305768,0.009733
1.649934,0.296275,1.311859,0.012345
0.591285,0.375697,0.165279,0.012242
0.635673,0.340655,0.244896,0.014701
0.969031,0.507094,0.400829,0.017009
0.908817,0.477915,0.366881,0.018168
48.585523,0.731198,47.780018,0.019506
1.515777,0.692243,0.74307,0.021
1.056066,0.656726,0.307325,0.03041
