# tot runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
0.003774,0.001695,0.001005,0.000304
0.013088,0.006404,0.004567,0.000341
0.013035,0.007165,0.003017,0.000684
0.022206,0.013021,0.005569,0.00051
0.069229,0.042521,0.019687,0.000808
0.13805,0.049459,0.075954,0.001146
0.096268,0.061085,0.026415,0.000816
0.17384,0.097792,0.063187,0.001019
0.169497,0.073052,0.08641,0.001253
0.489808,0.098741,0.377407,0.001432
0.553552,0.291522,0.239302,0.001386
0.661705,0.280013,0.357928,0.001792
0.641168,0.196532,0.422628,0.001869
1.412659,0.293723,1.091304,0.002515
0.462984,0.250216,0.187674,0.002469
2.795638,0.46688,2.290344,0.002544
2.613893,0.299024,2.282799,0.003623
10.586458,0.603501,9.934018,0.003907
14.989107,0.65344,14.283624,0.004466
9.008413,0.75532,8.201944,0.00412

