# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
550, 1.000000, 496, 74, 147, 1389.000000, 0.292050, 0.207661, 0.038088, 0.021368
550, 1.000000, 496, 74, 147, 1389.000000, 0.290806, 0.206342, 0.039119, 0.020667
550, 1.000000, 496, 74, 147, 1389.000000, 0.284534, 0.200234, 0.037509, 0.020896
550, 1.000000, 496, 74, 147, 1389.000000, 0.293186, 0.207815, 0.038512, 0.021722
550, 1.000000, 496, 74, 147, 1389.000000, 0.291448, 0.205967, 0.039102, 0.021913
550, 1.000000, 496, 74, 147, 1389.000000, 0.285193, 0.201804, 0.038157, 0.021133
550, 1.000000, 496, 74, 147, 1389.000000, 0.293816, 0.209039, 0.037933, 0.021585
550, 1.000000, 496, 74, 147, 1389.000000, 0.282834, 0.199561, 0.037543, 0.021510
550, 1.000000, 496, 74, 147, 1389.000000, 0.288552, 0.205216, 0.038051, 0.020856
550, 1.000000, 496, 74, 147, 1389.000000, 0.282746, 0.200062, 0.037425, 0.020984
550, 1.000000, 496, 74, 147, 1389.000000, 0.290071, 0.204913, 0.038002, 0.021820
550, 1.000000, 496, 74, 147, 1389.000000, 0.293941, 0.208887, 0.038811, 0.020831
550, 1.000000, 496, 74, 147, 1389.000000, 0.294143, 0.209593, 0.038671, 0.021522
550, 1.000000, 496, 74, 147, 1389.000000, 0.291809, 0.208168, 0.037427, 0.021085
550, 1.000000, 496, 74, 147, 1389.000000, 0.291131, 0.205788, 0.038567, 0.021515
550, 1.000000, 496, 74, 147, 1389.000000, 0.289678, 0.206016, 0.037400, 0.020814
550, 1.000000, 496, 74, 147, 1389.000000, 0.283225, 0.199912, 0.037859, 0.020898
550, 1.000000, 496, 74, 147, 1389.000000, 0.283715, 0.199346, 0.037831, 0.021299
550, 1.000000, 496, 74, 147, 1389.000000, 0.292383, 0.206850, 0.038580, 0.021605
550, 1.000000, 496, 74, 147, 1389.000000, 0.288541, 0.204146, 0.038792, 0.021337
