# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
450, 1.000000, 195, 17, 32, 1168.000000, 0.168240, 0.070697, 0.087241, 0.001136
450, 1.000000, 195, 17, 32, 1168.000000, 0.165441, 0.069230, 0.085879, 0.001385
450, 1.000000, 195, 17, 32, 1168.000000, 0.169806, 0.072089, 0.087243, 0.001272
450, 1.000000, 195, 17, 32, 1168.000000, 0.164049, 0.069105, 0.085324, 0.001088
450, 1.000000, 195, 17, 32, 1168.000000, 0.165088, 0.069000, 0.086114, 0.001187
450, 1.000000, 195, 17, 32, 1168.000000, 0.164863, 0.069624, 0.085435, 0.001164
450, 1.000000, 195, 17, 32, 1168.000000, 0.165130, 0.069846, 0.084673, 0.001182
450, 1.000000, 195, 17, 32, 1168.000000, 0.166761, 0.069000, 0.087599, 0.001124
450, 1.000000, 195, 17, 32, 1168.000000, 0.166936, 0.070714, 0.085646, 0.001134
450, 1.000000, 195, 17, 32, 1168.000000, 0.166570, 0.069387, 0.086827, 0.001445
450, 1.000000, 195, 17, 32, 1168.000000, 0.168454, 0.070625, 0.086336, 0.001446
450, 1.000000, 195, 17, 32, 1168.000000, 0.166371, 0.070935, 0.085386, 0.001122
450, 1.000000, 195, 17, 32, 1168.000000, 0.166324, 0.071293, 0.085295, 0.001117
450, 1.000000, 195, 17, 32, 1168.000000, 0.165859, 0.070305, 0.085689, 0.001154
450, 1.000000, 195, 17, 32, 1168.000000, 0.169525, 0.073793, 0.085344, 0.001262
450, 1.000000, 195, 17, 32, 1168.000000, 0.166325, 0.070685, 0.085637, 0.001125
450, 1.000000, 195, 17, 32, 1168.000000, 0.164382, 0.069949, 0.084690, 0.001125
450, 1.000000, 195, 17, 32, 1168.000000, 0.164981, 0.069647, 0.084955, 0.001065
450, 1.000000, 195, 17, 32, 1168.000000, 0.167110, 0.070115, 0.084996, 0.001516
450, 1.000000, 195, 17, 32, 1168.000000, 0.169497, 0.073052, 0.086410, 0.001253
