# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
200, 1.000000, 192, 50, 126, 514.000000, 0.060177, 0.033790, 0.008701, 0.013339
200, 1.000000, 192, 50, 126, 514.000000, 0.058921, 0.034063, 0.008996, 0.011940
200, 1.000000, 192, 50, 126, 514.000000, 0.060952, 0.034282, 0.009156, 0.013405
200, 1.000000, 192, 50, 126, 514.000000, 0.058146, 0.033898, 0.006966, 0.013016
200, 1.000000, 192, 50, 126, 514.000000, 0.062995, 0.036499, 0.007988, 0.014285
200, 1.000000, 192, 50, 126, 514.000000, 0.056670, 0.033083, 0.006501, 0.013025
200, 1.000000, 192, 50, 126, 514.000000, 0.060715, 0.036336, 0.006688, 0.013502
200, 1.000000, 192, 50, 126, 514.000000, 0.059606, 0.034818, 0.007436, 0.013120
200, 1.000000, 192, 50, 126, 514.000000, 0.059818, 0.034283, 0.007623, 0.013712
200, 1.000000, 192, 50, 126, 514.000000, 0.066658, 0.038203, 0.009719, 0.014026
200, 1.000000, 192, 50, 126, 514.000000, 0.070085, 0.039224, 0.008358, 0.016146
200, 1.000000, 192, 50, 126, 514.000000, 0.060360, 0.035489, 0.008254, 0.012649
200, 1.000000, 192, 50, 126, 514.000000, 0.060006, 0.034639, 0.007952, 0.013333
200, 1.000000, 192, 50, 126, 514.000000, 0.058591, 0.034212, 0.007000, 0.013184
200, 1.000000, 192, 50, 126, 514.000000, 0.057247, 0.032950, 0.005967, 0.014183
200, 1.000000, 192, 50, 126, 514.000000, 0.059974, 0.035925, 0.006474, 0.013298
200, 1.000000, 192, 50, 126, 514.000000, 0.059206, 0.035288, 0.006265, 0.013515
200, 1.000000, 192, 50, 126, 514.000000, 0.061525, 0.035590, 0.006590, 0.014198
200, 1.000000, 192, 50, 126, 514.000000, 0.058620, 0.033821, 0.006609, 0.013802
200, 1.000000, 192, 50, 126, 514.000000, 0.059138, 0.034226, 0.007803, 0.013306
