# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
450, 1.000000, 371, 70, 265, 1198.000000, 0.281588, 0.116420, 0.027204, 0.123544
450, 1.000000, 371, 70, 265, 1198.000000, 0.287480, 0.121395, 0.028666, 0.123501
450, 1.000000, 371, 70, 265, 1198.000000, 0.286711, 0.118622, 0.028468, 0.125227
450, 1.000000, 371, 70, 265, 1198.000000, 0.280439, 0.115502, 0.026451, 0.123525
450, 1.000000, 371, 70, 265, 1198.000000, 0.288436, 0.117613, 0.029000, 0.126937
450, 1.000000, 371, 70, 265, 1198.000000, 0.286905, 0.122378, 0.029624, 0.120397
450, 1.000000, 371, 70, 265, 1198.000000, 0.289492, 0.120995, 0.028596, 0.124661
450, 1.000000, 371, 70, 265, 1198.000000, 0.288720, 0.119202, 0.029462, 0.124909
450, 1.000000, 371, 70, 265, 1198.000000, 0.290281, 0.120840, 0.029127, 0.125524
450, 1.000000, 371, 70, 265, 1198.000000, 0.286879, 0.117884, 0.026352, 0.128111
450, 1.000000, 371, 70, 265, 1198.000000, 0.305594, 0.121932, 0.039922, 0.126751
450, 1.000000, 371, 70, 265, 1198.000000, 0.283970, 0.112407, 0.027980, 0.128275
450, 1.000000, 371, 70, 265, 1198.000000, 0.290409, 0.121097, 0.030167, 0.124896
450, 1.000000, 371, 70, 265, 1198.000000, 0.288717, 0.118922, 0.029716, 0.124281
450, 1.000000, 371, 70, 265, 1198.000000, 0.295062, 0.117533, 0.028334, 0.131114
450, 1.000000, 371, 70, 265, 1198.000000, 0.289911, 0.118703, 0.028558, 0.128060
450, 1.000000, 371, 70, 265, 1198.000000, 0.281427, 0.119424, 0.027279, 0.120287
450, 1.000000, 371, 70, 265, 1198.000000, 0.291417, 0.119338, 0.028019, 0.128184
450, 1.000000, 371, 70, 265, 1198.000000, 0.289895, 0.124923, 0.028080, 0.121872
450, 1.000000, 371, 70, 265, 1198.000000, 0.292659, 0.122718, 0.027365, 0.128285
