# n targts, min redund, phase 1 n centroids, phase 2 n coverages, final n uavs deployed, tot redundancy, runtime, time_spent_1st_phase, time_spent_lp_prblm, time_spent_cc_phase
100, 1.000000, 83, 17, 33, 281.000000, 0.011375, 0.005730, 0.002706, 0.000938
100, 1.000000, 83, 17, 33, 281.000000, 0.011252, 0.005741, 0.002308, 0.000898
100, 1.000000, 83, 17, 33, 281.000000, 0.010154, 0.005048, 0.002200, 0.001018
100, 1.000000, 83, 17, 33, 281.000000, 0.010200, 0.005126, 0.002253, 0.000987
100, 1.000000, 83, 17, 33, 281.000000, 0.012453, 0.006709, 0.002265, 0.001289
100, 1.000000, 83, 17, 33, 281.000000, 0.015037, 0.008665, 0.002579, 0.001486
100, 1.000000, 83, 17, 33, 281.000000, 0.013216, 0.007316, 0.002541, 0.001346
100, 1.000000, 83, 17, 33, 281.000000, 0.010983, 0.005689, 0.002342, 0.000918
100, 1.000000, 83, 17, 33, 281.000000, 0.010088, 0.005138, 0.002106, 0.000948
100, 1.000000, 83, 17, 33, 281.000000, 0.011645, 0.005856, 0.002720, 0.001102
100, 1.000000, 83, 17, 33, 281.000000, 0.011792, 0.006318, 0.002389, 0.000929
100, 1.000000, 83, 17, 33, 281.000000, 0.010231, 0.005150, 0.002105, 0.000987
100, 1.000000, 83, 17, 33, 281.000000, 0.013693, 0.006851, 0.003267, 0.000906
100, 1.000000, 83, 17, 33, 281.000000, 0.010241, 0.005193, 0.002200, 0.000933
100, 1.000000, 83, 17, 33, 281.000000, 0.011177, 0.005385, 0.002462, 0.001044
100, 1.000000, 83, 17, 33, 281.000000, 0.011802, 0.006718, 0.002213, 0.000924
100, 1.000000, 83, 17, 33, 281.000000, 0.009860, 0.004965, 0.002258, 0.000836
100, 1.000000, 83, 17, 33, 281.000000, 0.010926, 0.005109, 0.002853, 0.001007
100, 1.000000, 83, 17, 33, 281.000000, 0.011710, 0.005816, 0.002440, 0.001373
100, 1.000000, 83, 17, 33, 281.000000, 0.010057, 0.005134, 0.002113, 0.000897
